feature,importance
num__def_bin,0.09829671335031276
num__IAN,0.051416554692840816
cat__Instituição de ensino_Privada - Programa de Apadrinhamento,0.03803591188253112
num__INDE 22,0.027887600727696544
num__IPV,0.021258881295394185
num__IDA,0.020963529082049577
num__Nº Av,0.018997161818848415
cat__Pedra 22_Topázio,0.01849636469736612
cat__Avaliador4_None,0.017755742857390507
num__IPP,0.017542039794811202
num__Ano ingresso,0.017490066686740698
cat__Avaliador4_Avaliador-8,0.016998384634548242
cat__Fase_ALFA,0.016380252934846327
cat__Avaliador3_Avaliador-2,0.01618609678332671
cat__Pedra 21_Topázio,0.015981420725309205
num__Por,0.015786598317459464
num__IEG,0.015613533693604461
num__Ing,0.015505087213044956
cat__Avaliador1_Avaliador-15,0.015463244914799341
cat__Avaliador2_Avaliador-3,0.014878873253394606
